payoutAmount,workerId,lastIP,lastGPS_lat,weatherCode,lastGPS_lng,payoutStatus,shiftActive,avatar,currentWeather,payoutTimestamp,homeCity,name,lastActivity,lastGPS_city,isMockLocation,id,created_date,updated_date,created_by_id,created_by,is_sample
500,W012,21.249.185.133,13.0091,202.0,77.5449,PAID,False,green,Clear,2026-03-24T15:51:52.251000Z,Bangalore,Amit Gupta,2026-03-24T15:43:52.251000Z,Bangalore,False,7888f8c5b76a4f139a5ca77f,2026-03-14T15:48:52.251000,2026-03-24T15:51:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
500,W013,187.133.211.168,13.0079,576.0,77.6318,PENDING,True,green,Rain,2026-03-24T17:25:52.251000Z,Bangalore,Kavita Kumar,2026-03-24T15:34:52.251000Z,Bangalore,False,40113d9150aa42e9b32b73a5,2026-03-15T15:48:52.251000,2026-03-24T17:25:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
1000,W014,87.107.136.174,18.5043,766.0,73.8069,PAID,True,green,Rain,2026-03-24T15:53:52.251000Z,Pune,Geeta Singh,2026-03-24T15:28:52.251000Z,Pune,False,37c6ce2fee474ada92a342f9,2026-03-20T15:48:52.251000,2026-03-24T15:53:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
500,W015,26.123.54.90,17.3579,722.0,78.534,PENDING,False,red,Heavy Drizzle Storm,2026-03-24T16:42:52.251000Z,Hyderabad,Neha Gupta,2026-03-24T15:37:52.251000Z,Hyderabad,False,aa6df03610e240cc8e2fabf5,2026-03-14T15:48:52.251000,2026-03-24T16:42:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
1000,W016,231.137.160.95,22.5288,444.0,88.3147,PENDING,True,green,Heavy Drizzle Storm,2026-03-24T16:27:52.251000Z,Kolkata,Rohan Singh,2026-03-24T15:26:52.251000Z,Kolkata,False,e1e2de4a69004bc59568e67a,2026-03-20T15:48:52.251000,2026-03-24T16:27:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
1000,W017,148.15.36.190,13.0366,635.0,80.2904,PAID,True,purple,Haze,2026-03-24T15:51:52.251000Z,Chennai,Kavita Singh,2026-03-24T15:29:52.251000Z,Chennai,False,0acc01028b064df18c04a32f,2026-03-19T15:48:52.251000,2026-03-24T15:51:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
500,W018,174.53.71.194,17.3566,869.0,78.4636,PAID,False,red,Rain,2026-03-24T16:10:52.251000Z,Hyderabad,Rohan Bose,2026-03-24T15:26:52.251000Z,Hyderabad,False,bf756a41484c4fd28263489a,2026-03-17T15:48:52.251000,2026-03-24T16:10:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
750,W019,177.162.34.41,18.5465,476.0,73.8128,PENDING,False,blue,Rain,2026-03-24T16:19:52.251000Z,Pune,Pooja Bose,2026-03-24T15:47:52.251000Z,Pune,False,2f78a6aa0c694427a83c708d,2026-03-22T15:48:52.251000,2026-03-24T16:19:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
600,W020,246.100.89.84,12.9841,897.0,77.635,PENDING,False,purple,Clear,2026-03-24T16:49:52.251000Z,Bangalore,Amit Das,2026-03-24T15:40:52.251000Z,Bangalore,False,24458a1b142d45fc9590a5ae,2026-03-21T15:48:52.251000,2026-03-24T16:49:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
500,W021,94.41.255.122,19.0984,348.0,72.9119,PENDING,False,purple,Clear,2026-03-24T17:04:52.251000Z,Mumbai,Vikram Deshmukh,2026-03-24T15:42:52.251000Z,Mumbai,False,99d2470774bd45d8b7cebcd9,2026-03-19T15:48:52.251000,2026-03-24T17:04:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
1000,W022,128.87.125.186,19.0285,429.0,72.9212,PENDING,False,purple,Clear,2026-03-24T16:23:52.251000Z,Mumbai,Kavita Verma,2026-03-24T15:18:52.251000Z,Mumbai,False,444837653efa4a49a8e8d060,2026-03-20T15:48:52.251000,2026-03-24T16:23:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
600,W023,93.60.210.94,19.1072,388.0,72.8507,PENDING,False,orange,Clear,2026-03-24T16:47:52.251000Z,Mumbai,Rahul Rao,2026-03-24T15:18:52.251000Z,Mumbai,False,2135a77ba5ec499395aba499,2026-03-20T15:48:52.251000,2026-03-24T16:47:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
1000,W024,148.61.121.133,23.0318,347.0,72.5427,PAID,False,purple,Clear,2026-03-24T17:10:52.251000Z,Ahmedabad,Raj Bose,2026-03-24T15:42:52.251000Z,Ahmedabad,False,2edb517f06e8432a9da87b0f,2026-03-19T15:48:52.251000,2026-03-24T17:10:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
500,W025,157.61.201.79,22.9832,340.0,72.5578,PAID,False,orange,Tropical Storm,2026-03-24T16:53:52.251000Z,Ahmedabad,Amit Kumar,2026-03-24T15:35:52.251000Z,Ahmedabad,False,73eec301ce694be2a63d4a59,2026-03-23T15:48:52.251000,2026-03-24T16:53:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
500,W026,90.19.214.108,18.4841,851.0,73.8551,PENDING,False,yellow,Heavy Drizzle Storm,2026-03-24T16:49:52.251000Z,Pune,Priya Reddy,2026-03-24T15:29:52.251000Z,Pune,False,893c3041a0c743b7aa30ff74,2026-03-21T15:48:52.251000,2026-03-24T16:49:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
750,W027,22.164.103.221,28.6235,781.0,77.2577,PENDING,True,purple,Haze,2026-03-24T15:54:52.251000Z,Delhi,Rahul Rao,2026-03-24T15:46:52.251000Z,Delhi,False,e8b334d859b949c89b742cfe,2026-03-18T15:48:52.251000,2026-03-24T15:54:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
600,W028,141.59.205.197,13.0877,526.0,80.2479,PAID,False,blue,Haze,2026-03-24T17:16:52.251000Z,Chennai,Raj Singh,2026-03-24T15:29:52.251000Z,Chennai,False,905c0a988c49452e9e164ebd,2026-03-20T15:48:52.251000,2026-03-24T17:16:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
1000,W029,182.36.83.100,13.0751,500.0,80.2291,PENDING,True,red,Tropical Storm,2026-03-24T17:14:52.251000Z,Chennai,Rahul Yadav,2026-03-24T15:37:52.251000Z,Chennai,False,336f2874b6e94d9a8974711a,2026-03-20T15:48:52.251000,2026-03-24T17:14:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
500,W030,81.122.178.75,28.5686,211.0,77.2162,PAID,False,blue,Clear,2026-03-24T16:10:52.251000Z,Delhi,Geeta Das,2026-03-24T15:47:52.251000Z,Delhi,False,2b1d85d1dcf4401bafec09d7,2026-03-16T15:48:52.251000,2026-03-24T16:10:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
500,W031,177.230.76.189,12.9388,602.0,77.5732,PENDING,True,purple,Partly Cloudy,2026-03-24T16:15:52.251000Z,Bangalore,Neha Rao,2026-03-24T15:44:52.251000Z,Bangalore,False,34d03ce64e1d4ea5bf6f6c7f,2026-03-18T15:48:52.251000,2026-03-24T16:15:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
600,W032,212.55.218.15,17.3873,614.0,78.4705,PENDING,True,purple,Clear,2026-03-24T16:39:52.251000Z,Hyderabad,Meera Verma,2026-03-24T15:40:52.251000Z,Hyderabad,False,db34f1d00d504db7b8eab024,2026-03-21T15:48:52.251000,2026-03-24T16:39:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
500,W033,138.25.106.43,23.0639,881.0,72.5446,PENDING,False,yellow,Rain,2026-03-24T16:58:52.251000Z,Ahmedabad,Amit Rao,2026-03-24T15:30:52.251000Z,Ahmedabad,False,a5766b018647495ca3fe202c,2026-03-15T15:48:52.251000,2026-03-24T16:58:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
1000,W034,161.42.107.176,19.0395,265.0,72.841,PAID,True,yellow,Rain,2026-03-24T16:10:52.251000Z,Mumbai,Karan Rao,2026-03-24T15:29:52.251000Z,Mumbai,False,a255e265a1e243fda088861f,2026-03-20T15:48:52.251000,2026-03-24T16:10:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
500,W035,87.146.160.44,28.6464,233.0,77.2067,PENDING,True,green,Haze,2026-03-24T16:36:52.251000Z,Delhi,Sneha Bose,2026-03-24T15:24:52.251000Z,Delhi,False,76d4889d49f645ecb65eb084,2026-03-18T15:48:52.251000,2026-03-24T16:36:52.251000000,69c2ad46ab6434c708da0a5e,gopi9717402019@gmail.com,False
